Number of Threads: 1 Image-Height: 7680 Image-Width: 7680 Sigma: 1.250000 End to End time: 113347439 computation time: 111351377 
Number of Threads: 1 Image-Height: 7680 Image-Width: 7680 Sigma: 1.100000 End to End time: 110146975 computation time: 108160328 
Number of Threads: 1 Image-Height: 7680 Image-Width: 7680 Sigma: 0.600000 End to End time: 102317975 computation time: 100308840 
Number of Threads: 1 Image-Height: 10240 Image-Width: 10240 Sigma: 1.250000 End to End time: 201483780 computation time: 198033893 
Number of Threads: 1 Image-Height: 10240 Image-Width: 10240 Sigma: 1.100000 End to End time: 195397922 computation time: 191890515 
Number of Threads: 1 Image-Height: 10240 Image-Width: 10240 Sigma: 0.600000 End to End time: 191519268 computation time: 187706255 
Number of Threads: 1 Image-Height: 12800 Image-Width: 12800 Sigma: 1.250000 End to End time: 361414777 computation time: 354975705 
Number of Threads: 1 Image-Height: 12800 Image-Width: 12800 Sigma: 1.100000 End to End time: 348850094 computation time: 342401694 
Number of Threads: 1 Image-Height: 12800 Image-Width: 12800 Sigma: 0.600000 End to End time: 322991473 computation time: 316424946 
Number of Threads: 1 Image-Height: 1024 Image-Width: 1024 Sigma: 1.250000 End to End time: 2403840 computation time: 2228316 
Number of Threads: 1 Image-Height: 1024 Image-Width: 1024 Sigma: 1.100000 End to End time: 2222263 computation time: 2162657 
Number of Threads: 1 Image-Height: 1024 Image-Width: 1024 Sigma: 0.600000 End to End time: 2132486 computation time: 2072279 
Number of Threads: 1 Image-Height: 2048 Image-Width: 2048 Sigma: 1.250000 End to End time: 9080659 computation time: 8913350 
Number of Threads: 1 Image-Height: 2048 Image-Width: 2048 Sigma: 1.100000 End to End time: 8884867 computation time: 8713825 
Number of Threads: 1 Image-Height: 2048 Image-Width: 2048 Sigma: 0.600000 End to End time: 8228353 computation time: 8054810 
Number of Threads: 1 Image-Height: 4096 Image-Width: 4096 Sigma: 1.250000 End to End time: 36632228 computation time: 36025653 
Number of Threads: 1 Image-Height: 4096 Image-Width: 4096 Sigma: 1.100000 End to End time: 36009836 computation time: 35374241 
Number of Threads: 1 Image-Height: 4096 Image-Width: 4096 Sigma: 0.600000 End to End time: 33161823 computation time: 32548213 
Number of Threads: 1 Image-Height: 7680 Image-Width: 7680 Sigma: 1.250000 End to End time: 118496418 computation time: 116351033 
Number of Threads: 1 Image-Height: 7680 Image-Width: 7680 Sigma: 1.100000 End to End time: 110241578 computation time: 108091327 
Number of Threads: 1 Image-Height: 7680 Image-Width: 7680 Sigma: 0.600000 End to End time: 102162702 computation time: 99980189 
Number of Threads: 1 Image-Height: 10240 Image-Width: 10240 Sigma: 1.250000 End to End time: 202313020 computation time: 197934906 
Number of Threads: 1 Image-Height: 10240 Image-Width: 10240 Sigma: 1.100000 End to End time: 195480853 computation time: 191681287 
Number of Threads: 1 Image-Height: 10240 Image-Width: 10240 Sigma: 0.600000 End to End time: 180970083 computation time: 177163700 
Number of Threads: 1 Image-Height: 12800 Image-Width: 12800 Sigma: 1.250000 End to End time: 315070032 computation time: 309469610 
Number of Threads: 1 Image-Height: 12800 Image-Width: 12800 Sigma: 1.100000 End to End time: 304911352 computation time: 299241490 
Number of Threads: 1 Image-Height: 12800 Image-Width: 12800 Sigma: 0.600000 End to End time: 282040036 computation time: 276368571 
Number of Threads: 1 Image-Height: 1024 Image-Width: 1024 Sigma: 1.250000 End to End time: 2167009 computation time: 1970099 
Number of Threads: 1 Image-Height: 1024 Image-Width: 1024 Sigma: 1.100000 End to End time: 1911099 computation time: 1852566 
Number of Threads: 1 Image-Height: 1024 Image-Width: 1024 Sigma: 0.600000 End to End time: 1828249 computation time: 1771382 
Number of Threads: 1 Image-Height: 2048 Image-Width: 2048 Sigma: 1.250000 End to End time: 8016799 computation time: 7784430 
Number of Threads: 1 Image-Height: 2048 Image-Width: 2048 Sigma: 1.100000 End to End time: 8108721 computation time: 7909046 
Number of Threads: 1 Image-Height: 2048 Image-Width: 2048 Sigma: 0.600000 End to End time: 7253559 computation time: 7079690 
Number of Threads: 1 Image-Height: 4096 Image-Width: 4096 Sigma: 1.250000 End to End time: 32130385 computation time: 31563993 
Number of Threads: 1 Image-Height: 4096 Image-Width: 4096 Sigma: 1.100000 End to End time: 31556260 computation time: 30969052 
Number of Threads: 1 Image-Height: 4096 Image-Width: 4096 Sigma: 0.600000 End to End time: 29208794 computation time: 28627122 
Number of Threads: 1 Image-Height: 7680 Image-Width: 7680 Sigma: 1.250000 End to End time: 113202787 computation time: 111245408 
Number of Threads: 1 Image-Height: 7680 Image-Width: 7680 Sigma: 1.100000 End to End time: 110429554 computation time: 108426222 
Number of Threads: 1 Image-Height: 7680 Image-Width: 7680 Sigma: 0.600000 End to End time: 102088937 computation time: 100041775 
Number of Threads: 1 Image-Height: 10240 Image-Width: 10240 Sigma: 1.250000 End to End time: 201870995 computation time: 198423725 
Number of Threads: 1 Image-Height: 10240 Image-Width: 10240 Sigma: 1.100000 End to End time: 198068425 computation time: 194545443 
Number of Threads: 1 Image-Height: 10240 Image-Width: 10240 Sigma: 0.600000 End to End time: 180440485 computation time: 176898467 
Number of Threads: 1 Image-Height: 12800 Image-Width: 12800 Sigma: 1.250000 End to End time: 316444936 computation time: 310616653 
Number of Threads: 1 Image-Height: 12800 Image-Width: 12800 Sigma: 1.100000 End to End time: 306009091 computation time: 300012229 
Number of Threads: 1 Image-Height: 12800 Image-Width: 12800 Sigma: 0.600000 End to End time: 283413802 computation time: 277450246 
